iName,1.0,2.0,3.0,4.0,5.0,6.0
Kodikulam__Idukki,Kodikulam__Idukki (11786.32),Thodupuzha(M)__Idukki (108.49778035745426),Vannappuram__Idukki (68.9232999240771),Kumaramangalam__Idukki (55.816859070999136),Karimannur__Idukki (52.611327235896574),Paingottoor__Ernakulam (45.511666426856955)
Kodiyathur__Kozhikode,Kodiyathur__Kozhikode (25784.85),Kozhikkode(C)__Kozhikode (444.6246446544958),Karassery__Kozhikode (364.096561545438),Mukkam(M)__Kozhikode (198.90528154061363),Chathamangalam__Kozhikode (75.49779471265991),Keezhuparambu__Malappuram (72.4418082756314)
Kodom-Belur__Kasaragod,Kodom-Belur__Kasaragod (30222.010000000002),Kanjangad(M)__Kasaragod (350.53143664228253),Pullur-Periya__Kasaragod (164.2050168702842),Kinanur-Karindalam__Kasaragod (163.25274670716223),Madikai__Kasaragod (149.8608360135963),Nileswaram(M)__Kasaragod (148.53460771194827)
Kodoor__Malappuram,Kodoor__Malappuram (6478.29),Malappuram(M)__Malappuram (196.78554820169492),Kottakkal(M)__Malappuram (60.00222188544162),Manjeri(M)__Malappuram (35.72937317156811),Kozhikkode(C)__Kozhikode (32.30557861312235),Ponmala__Malappuram (21.323990038758907)
Kodumbu__Palakkad,Kodumbu__Palakkad (21683.48),Palakkad(M)__Palakkad (717.137413104339),Chittoor-Thathamangalam(M)__Palakkad (149.35448800648288),Marutharoad__Palakkad (137.18078054470737),Peruvembu__Palakkad (101.03304062798405),Kannadi__Palakkad (76.78486238106609)
Kodumon__Pathanamthitta,Kodumon__Pathanamthitta (27146.0),Pramadam__Pathanamthitta (40.02211571470589),Adoor(M)__Pathanamthitta (38.664853242328576),Kollam(C)__Kollam (24.50440462774742),Pathanamthitta(M)__Pathanamthitta (23.079600842631116),Ezhamkulam__Pathanamthitta (21.1023685327818)
Kodungalloor(M)__Thrissur,Kodungalloor(M)__Thrissur (64832.04),Eriyad__Thrissur (705.6262276674938),Vadakkekara__Ernakulam (329.2482982773484),Sreenarayanapuram__Thrissur (304.35851551177825),Thrissur(C)__Thrissur (231.49881766160374),Vellangalloor__Thrissur (229.02783121337333)
Koduvalli(M)__Kozhikode,Koduvalli(M)__Kozhikode (44305.17),Kozhikkode(C)__Kozhikode (1033.975394193085),Kizhakkoth__Kozhikode (462.24781017012407),Omassery__Kozhikode (293.2665620956059),Mukkam(M)__Kozhikode (261.35520318848654),Kunnamangalam__Kozhikode (171.7214435258936)
Koduvayoor__Palakkad,Koduvayoor__Palakkad (26569.27),Thenkurissi__Palakkad (315.5604660926151),Palakkad(M)__Palakkad (268.0298868548793),Puthunagaram__Palakkad (198.6559321888257),Pallasana__Palakkad (155.92365485337427),Chittoor-Thathamangalam(M)__Palakkad (117.78707070692144)
Koipram__Pathanamthitta,Koipram__Pathanamthitta (24046.75),Chengannur(M)__Alappuzha (139.01375575160364),Eraviperoor__Pathanamthitta (134.01289120042398),Aranmula__Pathanamthitta (123.64085353477046),Thottapuzhassery__Pathanamthitta (109.92558370404988),Thiruvalla(M)__Pathanamthitta (102.03679374457779)
Kokkayar__Idukki,Kokkayar__Idukki (10725.26),Mundakkayam__Kottayam (61.582947544868816),Koottikkal__Kottayam (53.93223267130402),Parathodu__Kottayam (39.941696304285806),Peruvanthanam__Idukki (30.419133269270827),Elappara__Idukki (26.99977757582927)
Kolacheri__Kannur,Kolacheri__Kannur (25428.13),Kannur(C)__Kannur (757.0778241866814),Narath__Kannur (257.06690814245917),Anthoor(M)__Kannur (183.54314050417926),Mayyil__Kannur (137.71798607611612),Munderi__Kannur (95.19435506800826)
Kolayad__Kannur,Kolayad__Kannur (18008.9),Kannur(C)__Kannur (94.17151916840102),Peravoor__Kannur (77.01077781675362),Kozhikkode(C)__Kozhikode (73.36858207816215),Vanimal__Kozhikode (69.22956118497098),Kanichar__Kannur (53.74432503118376)
Kolazhi__Thrissur,Kolazhi__Thrissur (30304.32),Thrissur(C)__Thrissur (730.3646728092446),Vadakkancherri(M)__Thrissur (42.976327902891484),Mulankunnathukavu__Thrissur (35.2615314675429),Avanoor__Thrissur (35.0990174900383),Adat__Thrissur (24.215324212227163)
Kollam(C)__Kollam,Kollam(C)__Kollam (353027.22),Thrikkovilvattom__Kollam (2556.1767763866574),Thiruvananthapuram(C)__Thiruvananthapuram (1887.9626113991533),Thrikkaruva__Kollam (1754.5678109412156),Mayyanad__Kollam (1726.4607072342128),Kottankara__Kollam (1620.2571328364625)
Kollayil__Thiruvananthapuram,Kollayil__Thiruvananthapuram (22820.07),Neyyattinkara(M)__Thiruvananthapuram (457.57874961330816),Thiruvananthapuram(C)__Thiruvananthapuram (404.31934692220653),Kunnathukal__Thiruvananthapuram (199.96746626339635),Chenkal__Thiruvananthapuram (189.02046827084322),Parassala__Thiruvananthapuram (181.74158494564614)
Kollengodu__Palakkad,Kollengodu__Palakkad (28403.52),Elavancheri__Palakkad (79.94769454600838),Muthalamada__Palakkad (62.63403992066296),Palakkad(M)__Palakkad (60.81545416194447),Vadavannoor__Palakkad (59.38742168354459),Chittoor-Thathamangalam(M)__Palakkad (50.25517331932199)
Kondazhy__Thrissur,Kondazhy__Thrissur (20386.73),Ottappalam(M)__Palakkad (262.6918610452513),Chelakkara__Thrissur (169.72344541643),Thrissur(C)__Thrissur (122.08807511292554),Thiruvilwamala__Thrissur (91.69681523190756),Vaniyamkulam__Palakkad (51.14306072529145)
Kondotty(M)__Malappuram,Kondotty(M)__Malappuram (54168.66),Kozhikkode(C)__Kozhikode (1065.5523166148448),Malappuram(M)__Malappuram (271.8058696545987),Manjeri(M)__Malappuram (227.8937822698187),Thirurangadi(M)__Malappuram (218.61478565346255),Parappanangadi(M)__Malappuram (192.2943495842534)
Kongadu__Palakkad,Kongadu__Palakkad (27318.2),Kadampazhippuram__Palakkad (240.0324496773511),Keralassery__Palakkad (171.91742376208998),Palakkad(M)__Palakkad (130.79544885721253),Mundoor__Palakkad (124.96430966442234),Parali__Palakkad (77.69534268129895)
Konnathadi__Idukki,Konnathadi__Idukki (26473.72),Vathikudi__Idukki (409.98949010143065),Vellathooval__Idukki (157.37283296751485),Rajakkad__Idukki (149.0134356049735),Nedumkandam__Idukki (56.192334363425495),Bysonvalley__Idukki (45.56123515220749)
Konni__Pathanamthitta,Konni__Pathanamthitta (27572.09),Pathanamthitta(M)__Pathanamthitta (245.05982624552794),Pramadam__Pathanamthitta (244.9587046506592),Malayalappuzha__Pathanamthitta (112.09825461717259),Kollam(C)__Kollam (101.86777020622614),Thiruvananthapuram(C)__Thiruvananthapuram (87.45096264798023)
Koodali__Kannur,Koodali__Kannur (27517.489999999998),Kannur(C)__Kannur (498.68448036905033),Kuttiatoor__Kannur (210.21604764933875),Keezhalloor__Kannur (173.0062751413368),Munderi__Kannur (94.3212910852317),Sreekandapuram(M)__Kannur (76.29942720911414)
Koodaranji__Kozhikode,Koodaranji__Kozhikode (17930.88),Kozhikkode(C)__Kozhikode (114.8395373724381),Thiruvambadi__Kozhikode (62.128215340534176),Mukkam(M)__Kozhikode (43.539475918212695),Karassery__Kozhikode (35.85346944842745),Koduvalli(M)__Kozhikode (21.485834772078956)
Koorachundu__Kozhikode,Koorachundu__Kozhikode (15494.57),Kozhikkode(C)__Kozhikode (224.3365033329708),Panangad__Kozhikode (58.451109188124995),Puthuppadi__Kozhikode (45.49234566881748),Kattipara__Kozhikode (45.35655589054861),Unnikkulam__Kozhikode (42.05760080814218)
Kooroppada__Kottayam,Kooroppada__Kottayam (25459.07),Pampadi__Kottayam (280.79025595150995),Kottayam(M)__Kottayam (159.19558657897844),Pallikkathodu__Kottayam (97.62065004534591),Akalakunnam__Kottayam (94.51372536545882),Ettumanoor(M)__Kottayam (85.50280592078659)
Koothali__Kozhikode,Koothali__Kozhikode (16290.24),Perambra__Kozhikode (98.31035218272079),Changaroth__Kozhikode (65.66130514586266),Kozhikkode(C)__Kozhikode (55.75810795390857),Nochad__Kozhikode (29.4975424191181),Koyilandi(M)__Kozhikode (20.668512617214343)
Koothattukulam(M)__Ernakulam,Koothattukulam(M)__Ernakulam (15700.23),Palakuzha__Ernakulam (72.1145003301523),Elanji__Ernakulam (71.6415945061624),Thirumaradi__Ernakulam (68.59341514221562),Piravom(M)__Ernakulam (50.53460650686683),Veliyannoor__Kottayam (49.33032110987304)
Koottikkal__Kottayam,Koottikkal__Kottayam (13705.92),Poonjar Thekkekara__Kottayam (32.038945261576686),Parathodu__Kottayam (26.320051677107244),Kokkayar__Idukki (22.519130172247696),Elappara__Idukki (18.889920684984673),Erattupetta(M)__Kottayam (17.53384237669833)
Koottilangadi__Malappuram,Koottilangadi__Malappuram (6724.8),Malappuram(M)__Malappuram (58.54988758406068),Manjeri(M)__Malappuram (53.731019834413566),Kozhikkode(C)__Kozhikode (14.946550099806684),Anakkayam__Malappuram (8.869078087735883),Kottakkal(M)__Malappuram (7.876811813548373)
Koovappady__Ernakulam,Koovappady__Ernakulam (32979.31),Mudakkuzha__Ernakulam (352.8144223259638),Perumbavoor(M)__Ernakulam (297.46959915784333),Malayattoor Neeleeswaram__Ernakulam (217.0096694636954),Okkal__Ernakulam (150.79318522626866),Kalady__Ernakulam (75.92359465944449)
Koppam__Palakkad,Koppam__Palakkad (28962.24),Pattambi (M)__Palakkad (120.69135244994641),Vilayoor__Palakkad (93.35656680474834),Kulukkalloor__Palakkad (61.48783830307762),Thiruvengappura__Palakkad (53.77801660736857),Muthuthala__Palakkad (53.50671910665945)
Koratty__Thrissur,Koratty__Thrissur (31222.08),Meloor__Thrissur (133.99574386971406),Chalakkudi(M)__Thrissur (111.44322023162435),Karukutty__Ernakulam (105.7152192195455),Thrissur(C)__Thrissur (47.477242013714026),Kadukutty__Thrissur (45.15885945234937)
Koruthodu__Kottayam,Koruthodu__Kottayam (14935.83),Erumeli__Kottayam (104.06610152854076),Peruvanthanam__Idukki (102.62843588918187),Mundakkayam__Kottayam (80.69992578169081),Thiruvananthapuram(C)__Thiruvananthapuram (40.38765383231829),Kollam(C)__Kollam (33.11067253697697)
Kothamangalam(M)__Ernakulam,Kothamangalam(M)__Ernakulam (37283.52),Nellikuzhy__Ernakulam (167.2076318852517),Varapetty__Ernakulam (133.11417772320888),Payipra__Ernakulam (62.064297779502816),Muvattupuzha(M)__Ernakulam (61.22267093067274),Pindimana__Ernakulam (41.10568823247063)
Kottakkal(M)__Malappuram,Kottakkal(M)__Malappuram (42606.72),Malappuram(M)__Malappuram (169.43439428929352),Kozhikkode(C)__Kozhikode (133.24291959371425),Valancherri(M)__Malappuram (77.07982535957132),Thirurangadi(M)__Malappuram (76.8317986217157),Manjeri(M)__Malappuram (63.1757469726728)
Kottanadu__Pathanamthitta,Kottanadu__Pathanamthitta (13820.16),Ranni Angadi__Pathanamthitta (43.68297626603509),Kottangal__Pathanamthitta (32.24712215772739),Ayiroor__Pathanamthitta (24.492867025724337),Ezhumattoor__Pathanamthitta (22.129742519755013),Ranni Pazhavangadi__Pathanamthitta (16.64705949442185)
Kottangal__Pathanamthitta,Kottangal__Pathanamthitta (15619.24),Kottanadu__Pathanamthitta (75.19404417056629),Vellavoor__Kottayam (74.08275484368775),Ezhumattoor__Pathanamthitta (54.86852479283196),Manimala__Kottayam (49.98867011264274),Anikkad__Pathanamthitta (33.997371709873505)
Kottankara__Kollam,Kottankara__Kollam (36067.85),Kollam(C)__Kollam (1514.8525357962437),Thrikkovilvattom__Kollam (479.43655786819494),Elampalloor__Kollam (205.27878810306947),Perinadu__Kollam (144.60455676051896),Nedumpana__Kollam (130.93641823250965)
Kottappady__Ernakulam,Kottappady__Ernakulam (16291.73),Kothamangalam(M)__Ernakulam (138.31544377766105),Pindimana__Ernakulam (118.03572196154835),Nellikuzhy__Ernakulam (103.244146639473),Vengoor__Ernakulam (97.05428434951806),Asamannur__Ernakulam (53.772876350342955)
Kottarakkara(M)__Kollam,Kottarakkara(M)__Kollam (2932.8),Kollam(C)__Kollam (13.124437756072187),Neduvathoor__Kollam (7.590979797690608),Mylam__Kollam (6.604396637539408),Thiruvananthapuram(C)__Thiruvananthapuram (4.841840172030063),Veliyam__Kollam (4.527430528735498)
Kottathara__Wayanad,Kottathara__Wayanad (3446.17),Kalpatta(M)__Wayanad (48.551123134312135),Kozhikkode(C)__Kozhikode (31.309875886110923),Mananthavady(M)__Wayanad (14.425397460106124),Vengapalli__Wayanad (8.610671770475173),Kaniyampatta__Wayanad (7.117366169227271)
Kottayam(M)__Kottayam,Kottayam(M)__Kottayam (125837.53),Panachikkad__Kottayam (1105.1566697225633),Thiruvarppu__Kottayam (869.9592259634152),Vijayapuram__Kottayam (811.441698212998),Alappuzha(M)__Alappuzha (494.6841457238317),Ettumanoor(M)__Kottayam (433.98199994845385)
Kottayam__Kannur,Kottayam__Kannur (18792.48),Kuthuparambu(M)__Kannur (70.2593928310137),Thalasseri(M)__Kannur (33.16552853341625),Kannur(C)__Kannur (32.502650978857),Pinarayi__Kannur (24.459859484175077),Kathiroor__Kannur (19.20739739910293)
Kottayi__Palakkad,Kottayi__Palakkad (21155.52),Palakkad(M)__Palakkad (82.4744126725685),Parali__Palakkad (78.87101971951465),Mathur__Palakkad (55.507421134612706),Mankara__Palakkad (37.000354562648035),Pirayiri__Palakkad (36.010968604321825)
Kottiyoor__Kannur,Kottiyoor__Kannur (16097.28),Kelakom__Kannur (50.05837282904696),Mananthavady(M)__Wayanad (42.093991927640175),Kozhikkode(C)__Kozhikode (40.87448269119364),Kannur(C)__Kannur (27.729001227906306),Thavinjal__Wayanad (19.676126419303046)
Kottoppadam__Palakkad,Kottoppadam__Palakkad (39387.53),Alanalloor__Palakkad (488.84700288898586),Kumaramputhoor__Palakkad (411.3540237129599),Mannarkkad(M)__Palakkad (270.4900790329699),Thenkara__Palakkad (121.99940052170558),Kozhikkode(C)__Kozhikode (119.49085589149428)
Kottukal__Thiruvananthapuram,Kottukal__Thiruvananthapuram (30335.76),Thiruvananthapuram(C)__Thiruvananthapuram (939.1956504752112),Neyyattinkara(M)__Thiruvananthapuram (266.69844578122616),Kanjiramkulam__Thiruvananthapuram (232.90519400289006),Athiyannoor__Thiruvananthapuram (204.22550017760224),Venganoor__Thiruvananthapuram (197.06300011114718)
Kottur__Kozhikode,Kottur__Kozhikode (28193.62),Kozhikkode(C)__Kozhikode (419.60076007476107),Panangad__Kozhikode (156.0993764576133),Koyilandi(M)__Kozhikode (143.88139023563457),Kayanna__Kozhikode (136.28934860452048),Balusseri__Kozhikode (134.24131602198585)
Kottuvally__Ernakulam,Kottuvally__Ernakulam (38995.32),North Paravoor(M)__Ernakulam (480.75791930719674),Ezhikkara__Ernakulam (263.9021542430964),Alangad__Ernakulam (255.92970883332498),Varapuzha__Ernakulam (156.64107924751727),Eloor(M)__Ernakulam (156.63241185063671)
Koyilandi(M)__Kozhikode,Koyilandi(M)__Kozhikode (68998.08),Kozhikkode(C)__Kozhikode (482.3318034476634),Chengottukavu__Kozhikode (203.77283688115315),Keezhariyur__Kozhikode (148.46362753525418),Ulliyeri__Kozhikode (139.2262473877766),Moodadi__Kozhikode (128.38816280689682)
Kozhancherry__Pathanamthitta,Kozhancherry__Pathanamthitta (10939.11),Thottapuzhassery__Pathanamthitta (82.11547016010911),Mallappuzhassery__Pathanamthitta (64.01185516514606),Ayiroor__Pathanamthitta (48.691643528559226),Aranmula__Pathanamthitta (42.80403302167679),Koipram__Pathanamthitta (35.64414976582301)
Kozhikkode(C)__Kozhikode,Kozhikkode(C)__Kozhikode (553737.73),Olavanna__Kozhikode (7015.370800677685),Kakkodi__Kozhikode (3415.068777855176),Ramanattukara(M)__Kozhikode (2574.9921739940323),Kuruvattur__Kozhikode (2222.406358460357),Peruvayal__Kozhikode (2115.8465587743653)
Kozhinjampara__Palakkad,Kozhinjampara__Palakkad (26163.41),Nalleppilli__Palakkad (373.9368693535051),Eruthempathi__Palakkad (286.1193710122232),Perumatti__Palakkad (171.71579572205926),Palakkad(M)__Palakkad (149.91447220817074),Elappulli__Palakkad (119.09959934613941)
Kozhuvanal__Kottayam,Kozhuvanal__Kottayam (12176.71),Akalakunnam__Kottayam (137.176146900452),Mutholi__Kottayam (65.50496220400854),Kottayam(M)__Kottayam (46.913840811785924),Ettumanoor(M)__Kottayam (46.821715077703786),Meenachil__Kottayam (39.36909262352354)
Krishnapuram__Alappuzha,Krishnapuram__Alappuzha (24301.55),Kayamkulam(M)__Alappuzha (663.0376919619954),Bharanikavu__Alappuzha (174.30925935621585),Ochira__Kollam (153.56860236712657),Kollam(C)__Kollam (90.49893264551125),Vallikunnam__Alappuzha (74.61450092976355)
Kudayathoor__Idukki,Kudayathoor__Idukki (11031.02),Velliyamattam__Idukki (81.90690354865286),Thodupuzha(M)__Idukki (50.802468713384535),Melukavu__Kottayam (34.15601660415817),Erattupetta(M)__Kottayam (28.329495340941723),Alakode__Idukki (23.704067917361833)
Kulakkada__Kollam,Kulakkada__Kollam (29497.65),Kollam(C)__Kollam (279.10369012830864),Mylam__Kollam (185.49973264561598),Neduvathoor__Kollam (152.2895357304231),Pavithreswaram__Kollam (116.97723086604715),Kunnathur__Kollam (93.30442996062196)
Kulanada__Pathanamthitta,Kulanada__Pathanamthitta (22708.8),Pandalam(M)__Pathanamthitta (176.7455554881718),Mezhuveli__Pathanamthitta (51.91023789138487),Mulakuzha__Alappuzha (29.84256108298687),Chenneerkara__Pathanamthitta (26.864920921137053),Kollam(C)__Kollam (26.70280191140821)
Kulasekharapuram__Kollam,Kulasekharapuram__Kollam (44732.869999999995),Karunagappally(M)__Kollam (822.8022747587437),Alappad__Kollam (413.56107872470864),Kollam(C)__Kollam (323.01672424169357),Ochira__Kollam (241.33484664866344),Clappana__Kollam (239.41565701180383)
Kulathoor__Thiruvananthapuram,Kulathoor__Thiruvananthapuram (29637.79),Thiruvananthapuram(C)__Thiruvananthapuram (513.1531219368362),Karode__Thiruvananthapuram (470.76767377245585),Poovar__Thiruvananthapuram (430.4721204017689),Chenkal__Thiruvananthapuram (211.22830886088147),Neyyattinkara(M)__Thiruvananthapuram (191.68572345561824)
Kulathupuzha__Kollam,Kulathupuzha__Kollam (33332.16),Thiruvananthapuram(C)__Thiruvananthapuram (288.43369670538584),Kollam(C)__Kollam (71.6757582428642),Peringammala__Thiruvananthapuram (34.07474468093721),Punaloor(M)__Kollam (30.61564963260686),Chithara__Kollam (30.335674728565856)
Kulukkalloor__Palakkad,Kulukkalloor__Palakkad (26852.16),Nellaya__Palakkad (77.41338186829027),Koppam__Palakkad (66.27789276629653),Vallappuzha__Palakkad (64.18013237826152),Perinthalmanna(M)__Malappuram (58.80380585555753),Cherppulassery (M)__Palakkad (53.65598580022375)
Kumarakom__Kottayam,Kumarakom__Kottayam (20345.78),Kottayam(M)__Kottayam (240.48778178394755),Alappuzha(M)__Alappuzha (205.41475515462247),Aymanam__Kottayam (93.71101405848606),Mannancherry__Alappuzha (84.25003328235553),Thiruvarppu__Kottayam (70.93014552236991)
Kumaramangalam__Idukki,Kumaramangalam__Idukki (13527.15),Thodupuzha(M)__Idukki (266.4321450294183),Kalloorkkad__Ernakulam (76.07296058053957),Kodikulam__Idukki (43.79684407361213),Manjallur__Ernakulam (42.336553537152774),Paingottoor__Ernakulam (28.298773692132762)
Kumaramputhoor__Palakkad,Kumaramputhoor__Palakkad (29902.6),Mannarkkad(M)__Palakkad (951.3353753686373),Kottoppadam__Palakkad (286.1595576656702),Thenkara__Palakkad (127.03439063030149),Karimpuzha__Palakkad (92.1757164677919),Alanalloor__Palakkad (78.70771729797738)
Kumarapuram__Alappuzha,Kumarapuram__Alappuzha (19749.12),Thrikkunnapuzha__Alappuzha (130.57183223651577),Karthikapalli__Alappuzha (79.32492107953497),Harippad(M)__Alappuzha (75.37786359669683),Karuvatta__Alappuzha (39.82722009762754),Chingoli__Alappuzha (20.880697252489785)
Kumbadaje__Kasaragod,Kumbadaje__Kasaragod (13442.52),Chengala__Kasaragod (150.48442212786983),Karaduka__Kasaragod (129.10118865180286),Badiyaduka__Kasaragod (116.20379065985111),Enmakaje__Kasaragod (82.4963696762982),Kasaragod(M)__Kasaragod (71.37832991530048)
Kumbala__Kasaragod,Kumbala__Kasaragod (42488.81),Mangalpady__Kasaragod (714.4709535374016),Kasaragod(M)__Kasaragod (429.1922844040885),Madhur__Kasaragod (380.02615956510897),Puthige__Kasaragod (372.99794435785606),Mogral-Puthur__Kasaragod (305.22045290356374)
Kumbalam__Ernakulam,Kumbalam__Ernakulam (26565.63),Marad(M)__Ernakulam (449.9697378424086),Thrippunithura(M)__Ernakulam (317.16065281956844),Kochi(C)__Ernakulam (189.63530987827755),Aroor__Alappuzha (189.02435367416902),Udayamperoor__Ernakulam (146.68980043369592)
Kumbalangy__Ernakulam,Kumbalangy__Ernakulam (25705.68),Chellanam__Ernakulam (634.4393280278601),Aroor__Alappuzha (508.5509690261958),Kochi(C)__Ernakulam (124.525845094767),Marad(M)__Ernakulam (114.40791542622533),Thrippunithura(M)__Ernakulam (106.55023900790339)
Kumili__Idukki,Kumili__Idukki (34478.4),Thiruvananthapuram(C)__Thiruvananthapuram (85.7707208682841),Vandiperiyar__Idukki (54.724035354419335),Kollam(C)__Kollam (49.4924675251284),Chakkupallam__Idukki (20.775609057014343),Vandanmedu__Idukki (19.817684330419382)
